Date,Stock Name,Open,High,Low,Close,Adj Close,Volume,Mean_Sentiment_Score,Median_Sentiment_Score,Total_Sentiment_Score,Total_Sentiment_Negative,Total_Sentiment_Neutral,Total_Sentiment_Positive
2021-09-30,TSLA,260.3333435058594,263.0433349609375,258.3333435058594,258.49334716796875,258.49334716796875,53868000,0.23155222222222221,0.3282,20.8397,24.0,13.0,53.0
2021-10-01,TSLA,259.4666748046875,260.260009765625,254.52999877929688,258.4066772460937,258.4066772460937,51094200,0.23370425531914893,0.22285,21.9682,15.0,28.0,51.0
2021-10-04,TSLA,265.5,268.989990234375,258.7066650390625,260.510009765625,260.510009765625,91449900,0.13538823529411764,0.0,16.1112,20.0,47.0,52.0
2021-10-05,TSLA,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800,0.06944545454545455,0.0,6.1112,29.0,22.0,37.0
2021-10-06,TSLA,258.7333374023437,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400,0.1999397435897436,0.08995,15.5953,14.0,23.0,41.0
2021-10-07,TSLA,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,0.19254817518248177,0.0,26.3791,17.0,57.0,63.0
2021-10-08,TSLA,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,0.2200111111111111,0.24895,19.801,18.0,19.0,53.0
2021-10-11,TSLA,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,0.1852863157894737,0.0,17.6022,18.0,31.0,46.0
2021-10-12,TSLA,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,0.19125478260869563,0.1531,21.9943,19.0,30.0,66.0
2021-10-13,TSLA,270.1566772460937,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,0.16009655172413792,0.0772,13.9284,19.0,23.0,45.0
2021-10-14,TSLA,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,0.1584252336448598,0.0,16.9515,17.0,44.0,46.0
2021-10-15,TSLA,274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800,0.08031830985915493,0.0,11.4052,40.0,39.0,63.0
2021-10-18,TSLA,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,0.21873040540540542,0.1333,32.3721,20.0,49.0,79.0
2021-10-19,TSLA,292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,0.15556607142857143,0.0892,17.4234,27.0,27.0,58.0
2021-10-20,TSLA,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,0.1229,0.0,21.3846,45.0,53.0,76.0
2021-10-21,TSLA,285.3333435058594,300.0,285.1666564941406,298.0,298.0,94444500,0.18600055555555556,0.0,33.4801,27.0,73.0,80.0
2021-10-22,TSLA,298.5,303.3333435058594,296.9866638183594,303.2266540527344,303.2266540527344,68642400,0.19316227544910178,0.0772,32.2581,30.0,52.0,85.0
2021-10-25,TSLA,316.84332275390625,348.3399963378906,314.7333374023437,341.6199951171875,341.6199951171875,188556300,0.20450194805194805,0.03225,94.4799,61.0,169.0,232.0
2021-10-26,TSLA,341.5633239746094,364.9800109863281,333.8133239746094,339.4766540527344,339.4766540527344,187245000,0.17766932773109242,0.13005,42.2853,48.0,67.0,123.0
2021-10-27,TSLA,346.5533447265625,356.9599914550781,343.59332275390625,345.9533386230469,345.9533386230469,115579500,0.13823276836158194,0.0,24.467200000000002,35.0,68.0,74.0
2021-10-28,TSLA,356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,359.0133361816406,81639600,0.18528719999999999,0.0173,23.160899999999998,19.0,43.0,63.0
2021-10-29,TSLA,360.6199951171875,371.7366638183594,357.7366638183594,371.3333435058594,371.3333435058594,89755200,0.14727936507936507,0.0,27.8358,41.0,66.0,82.0
2021-11-01,TSLA,381.6666564941406,403.25,372.88665771484375,402.86334228515625,402.86334228515625,168146100,0.21123409961685824,0.0387,55.1321,49.0,81.0,131.0
2021-11-02,TSLA,386.4533386230469,402.86334228515625,382.0,390.6666564941406,390.6666564941406,128213400,0.1554531707317073,0.0,31.8679,46.0,63.0,96.0
